,Sim time,Event
97,8.092109836002237,There occurs 2 demands. 0 overdue inventories are discarded.
98,8.320299074781115,There occurs 3 demands. 0 overdue inventories are discarded.
99,8.457250012932132,There occurs 2 demands. 0 overdue inventories are discarded.
100,8.501759621048526,There occurs 3 demands. 0 overdue inventories are discarded.
101,8.509505928078866,26 goods have arrived.
102,8.534649758192963,There occurs 2 demands. 0 overdue inventories are discarded.
103,8.764303412089125,There occurs 4 demands. 0 overdue inventories are discarded.
104,8.820825543051015,There occurs 2 demands. 0 overdue inventories are discarded.
105,8.919145149644978,There occurs 3 demands. 0 overdue inventories are discarded.
106,9.0,There occurs 3 demands. 0 overdue inventories are discarded.
107,9.163496677378573,Order 24 goods.
108,9.238276513888852,There occurs 2 demands. 0 overdue inventories are discarded.
109,9.253137883492068,There occurs 1 demands. 0 overdue inventories are discarded.
110,9.392319365170138,There occurs 2 demands. 0 overdue inventories are discarded.
111,9.428775083769679,There occurs 3 demands. 0 overdue inventories are discarded.
112,9.479360194688093,There occurs 1 demands. 0 overdue inventories are discarded.
113,9.500033250673862,There occurs 2 demands. 0 overdue inventories are discarded.
114,9.591042640757978,There occurs 1 demands. 0 overdue inventories are discarded.
115,9.594575667166552,There occurs 2 demands. 0 overdue inventories are discarded.
116,9.63649807502583,There occurs 4 demands. 0 overdue inventories are discarded.
117,9.754470636862752,There occurs 2 demands. 0 overdue inventories are discarded.
118,9.805504169097324,There occurs 1 demands. 0 overdue inventories are discarded.
119,9.823968303095016,There occurs 2 demands. 0 overdue inventories are discarded.
120,9.864123922393397,There occurs 3 demands. 0 overdue inventories are discarded.
121,9.910702347986389,24 goods have arrived.
122,10.0,There occurs 1 demands. 0 overdue inventories are discarded.
123,10.012179018220209,Order 27 goods.
124,10.06155979802089,There occurs 3 demands. 0 overdue inventories are discarded.
125,10.089411119419585,There occurs 3 demands. 0 overdue inventories are discarded.
126,10.363003631205535,There occurs 1 demands. 0 overdue inventories are discarded.
127,10.45597992622481,There occurs 2 demands. 0 overdue inventories are discarded.
128,10.499556001241872,There occurs 3 demands. 0 overdue inventories are discarded.
129,10.711670086024837,There occurs 2 demands. 0 overdue inventories are discarded.
130,10.847648206316256,There occurs 3 demands. 0 overdue inventories are discarded.
131,10.872307133969928,There occurs 3 demands. 0 overdue inventories are discarded.
132,11.0,27 goods have arrived.
133,11.222314643432188,Order 27 goods.
134,11.664854473001435,There occurs 2 demands. 0 overdue inventories are discarded.
135,11.741559468547619,There occurs 3 demands. 0 overdue inventories are discarded.
136,11.758642084254602,There occurs 3 demands. 0 overdue inventories are discarded.
137,11.801012011690618,There occurs 3 demands. 0 overdue inventories are discarded.
138,11.969724218506244,There occurs 2 demands. 0 overdue inventories are discarded.
139,12.0,There occurs 2 demands. 0 overdue inventories are discarded.
140,12.005152140283927,Order 35 goods.
141,12.079834027720043,There occurs 3 demands. 0 overdue inventories are discarded.
142,12.325662060377113,There occurs 1 demands. 0 overdue inventories are discarded.
143,12.332795135564824,There occurs 2 demands. 0 overdue inventories are discarded.
144,12.57684745340248,There occurs 2 demands. 0 overdue inventories are discarded.
145,12.67630807039391,There occurs 3 demands. 0 overdue inventories are discarded.
146,12.836466889988644,35 goods have arrived.
147,12.965863388471085,There occurs 3 demands. 0 overdue inventories are discarded.
148,12.988348342872158,There occurs 3 demands. 0 overdue inventories are discarded.
149,13.0,There occurs 3 demands. 0 overdue inventories are discarded.
150,13.05511106584132,Order 35 goods.
151,13.142961824408987,There occurs 3 demands. 0 overdue inventories are discarded.
152,13.333437796599236,There occurs 1 demands. 0 overdue inventories are discarded.
153,13.369013087126252,There occurs 2 demands. 0 overdue inventories are discarded.
154,13.381801497965052,There occurs 2 demands. 0 overdue inventories are discarded.
155,13.735131822099852,There occurs 3 demands. 0 overdue inventories are discarded.
156,13.809708001861734,There occurs 3 demands. 0 overdue inventories are discarded.
157,13.909123835746069,There occurs 4 demands. 0 overdue inventories are discarded.
158,13.97971007358052,There occurs 2 demands. 0 overdue inventories are discarded.
159,14.0,There occurs 4 demands. 0 overdue inventories are discarded.
160,14.080952912546419,Order 44 goods.
161,14.132392592409634,There occurs 3 demands. 0 overdue inventories are discarded.
162,14.361406767619028,There occurs 3 demands. 0 overdue inventories are discarded.
163,14.423836932867424,There occurs 3 demands. 0 overdue inventories are discarded.
